x,operator,y,=,z
76,*,51,=,3876
2,+,29,=,31
54,/,1,=,54
83,-,42,=,41
50,+,9,=,59
36,/,6,=,6
57,-,53,=,4
28,/,7,=,4
67,+,83,=,150
45,-,96,=,-51
39,/,1,=,39
6,-,58,=,-52
31,*,27,=,837
71,*,28,=,1988
77,*,95,=,7315
92,*,48,=,4416
76,*,44,=,3344
5,/,1,=,5
32,/,2,=,16
52,*,8,=,416
29,+,58,=,87
57,-,49,=,8
17,/,1,=,17
6,/,3,=,2
29,-,76,=,-47
39,-,75,=,-36
27,+,100,=,127
31,/,31,=,1
82,-,43,=,39
96,*,19,=,1824
14,/,2,=,7
77,-,39,=,38
2,-,38,=,-36
94,/,94,=,1
70,/,2,=,35
20,+,18,=,38
26,*,17,=,442
55,-,24,=,31
36,/,18,=,2
11,/,11,=,1
92,+,43,=,135
48,*,41,=,1968
30,/,2,=,15
61,-,4,=,57
86,+,89,=,175
10,-,60,=,-50
29,*,72,=,2088
79,*,96,=,7584
42,*,81,=,3402
9,-,47,=,-38
39,-,35,=,4
84,-,54,=,30
78,*,78,=,6084
66,+,41,=,107
27,-,52,=,-25
17,*,35,=,595
16,/,16,=,1
57,*,10,=,570
87,-,12,=,75
38,/,19,=,2
61,/,1,=,61
17,/,1,=,17
89,/,1,=,89
12,*,59,=,708
86,/,43,=,2
77,/,7,=,11
24,+,7,=,31
41,*,49,=,2009
55,*,19,=,1045
18,+,36,=,54
92,/,23,=,4
69,+,21,=,90
23,+,41,=,64
27,+,45,=,72
44,-,57,=,-13
17,*,75,=,1275
44,/,44,=,1
36,/,1,=,36
95,*,52,=,4940
23,-,19,=,4
8,/,4,=,2
25,/,5,=,5
90,/,2,=,45
2,-,64,=,-62
50,-,15,=,35
84,*,16,=,1344
37,*,2,=,74
27,+,58,=,85
45,+,34,=,79
38,+,55,=,93
3,-,27,=,-24
90,+,5,=,95
41,-,92,=,-51
10,/,1,=,10
11,+,61,=,72
89,*,4,=,356
69,*,83,=,5727
17,/,1,=,17
5,/,5,=,1
28,+,62,=,90
21,/,3,=,7
77,+,4,=,81
53,-,23,=,30
60,*,38,=,2280
56,-,63,=,-7
56,-,63,=,-7
88,/,22,=,4
46,/,46,=,1
3,*,61,=,183
86,-,91,=,-5
64,/,8,=,8
74,/,74,=,1
82,-,24,=,58
27,+,62,=,89
23,/,23,=,1
81,+,38,=,119
56,+,54,=,110
96,*,48,=,4608
10,*,26,=,260
83,-,60,=,23
90,/,2,=,45
